Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,GWG,S,S%,TOI/GP,FOW%
Brian Gionta,20032004,NJD,R,R,75,21,8,29,19,36,0.39,21,26,0,3,0,0,8,174,12.1,14:44,58.3
Matthew Lombardi,20032004,CGY,L,C,79,16,13,29,4,32,0.37,11,21,3,6,2,2,4,130,12.3,14:26,47.9
Oleg Saprykin,20032004,CGY,L,L,69,12,17,29,1,41,0.42,8,21,4,8,0,0,0,151,8,13:48,23.1
Stephen Weiss,20032004,FLA,L,C,50,12,17,29,-10,10,0.58,9,18,3,11,0,0,2,82,14.6,17:42,44.9
Stu Barnes,20032004,DAL,R,C,77,11,18,29,7,18,0.38,10,25,0,3,1,1,4,135,8.2,18:05,52.9
Todd White,20032004,OTT,L,C,53,9,20,29,12,22,0.55,7,21,1,7,1,1,2,98,9.2,17:32,52
Wayne Primeau,20032004,SJS,L,C,72,9,20,29,4,90,0.4,8,23,0,2,1,4,1,142,6.3,15:28,46.6
Mike Grier,20032004,"WSH,BUF",R,R,82,9,20,29,-9,36,0.35,7,23,1,4,1,2,0,133,6.8,17:26,47.7
Konstantin Koltsov,20032004,PIT,L,L,82,9,20,29,-30,30,0.35,7,24,2,5,0,0,3,123,7.3,15:21,33.3
Lubomir Visnovsky,20032004,LAK,L,D,58,8,21,29,8,26,0.5,3,12,5,17,0,0,0,114,7,24:02:00,--
Roman Hamrlik,20032004,NYI,L,D,81,7,22,29,2,68,0.36,5,16,2,11,0,2,2,182,3.9,24:35:00,--
Steve Reinprecht,20032004,CGY,L,C,44,7,22,29,1,4,0.66,4,15,3,14,0,0,1,68,10.3,17:05,40
Jim Dowd,20032004,"MIN,MTL",R,C,69,7,22,29,12,44,0.42,4,21,2,7,1,1,2,54,13,13:59,48.2
Kenny Jonsson,20032004,NYI,L,D,79,5,24,29,25,22,0.37,2,17,3,9,0,3,2,106,4.7,22:56,--
Ken Klee,20032004,TOR,R,D,66,4,25,29,-1,36,0.44,1,11,3,17,0,1,1,85,4.7,22:08,100
Frantisek Kaberle,20032004,ATL,L,D,67,3,26,29,2,30,0.43,1,11,2,18,0,0,1,94,3.2,23:20,50
Chris Simon,20032004,"NYR,CGY",L,L,78,17,11,28,15,250,0.36,13,23,4,5,0,0,0,147,11.6,12:43,40
Anson Carter,20032004,"NYR,WSH,LAK",R,R,77,15,13,28,-15,20,0.36,8,17,6,10,1,1,4,114,13.2,16:47,30.7
Rob Niedermayer,20032004,ANA,L,C,55,12,16,28,-6,34,0.51,6,19,6,9,0,0,2,111,10.8,19:28,64.4
Janne Niinimaa,20032004,NYI,L,D,82,9,19,28,12,64,0.34,5,16,4,12,0,0,2,97,9.3,23:15,--
Alexei Ponikarovsky,20032004,TOR,L,L,73,9,19,28,14,44,0.38,8,26,1,1,0,1,2,110,8.2,11:36,30
Sean Avery,20032004,LAK,L,L,76,9,19,28,2,261,0.37,9,28,0,0,0,0,2,125,7.2,11:41,54.8
Andrei Markov,20032004,MTL,L,D,69,6,22,28,-2,20,0.41,4,18,2,10,0,0,0,105,5.7,21:29,50
Steve Staios,20032004,EDM,R,D,82,6,22,28,17,86,0.34,5,19,1,9,0,0,1,153,3.9,23:03,--
Dan McGillis,20032004,BOS,L,D,80,5,23,28,-1,65,0.35,4,19,1,9,0,0,2,117,4.3,19:43,0
Alexei Zhitnik,20032004,BUF,L,D,68,4,24,28,-13,102,0.41,2,13,2,14,0,1,0,134,3,25:01:00,--
Pierre Dagenais,20032004,MTL,L,R,50,17,10,27,15,24,0.54,13,20,4,7,0,0,3,149,11.4,13:53,42.1
Matt Stajan,20032004,TOR,L,C,69,14,13,27,7,22,0.39,14,26,0,0,0,1,0,63,22.2,11:00,38.9
Turner Stevenson,20032004,NJD,R,R,61,14,13,27,0,76,0.44,10,23,4,4,0,0,2,76,18.4,12:42,60
Scott Thornton,20032004,SJS,L,L,80,13,14,27,-6,84,0.34,12,24,1,3,0,0,1,127,10.2,13:57,40.7
Adam Hall,20032004,NSH,R,R,79,13,14,27,-8,37,0.34,7,17,6,8,0,2,1,151,8.6,16:14,56.3
Dainius Zubrus,20032004,WSH,L,C,54,12,15,27,-16,38,0.5,5,13,6,13,1,1,2,115,10.4,19:32,48
Andreas Johansson,20032004,NSH,L,L,47,12,15,27,-2,26,0.57,8,12,3,13,1,2,1,108,11.1,15:48,38.6
Jeff Cowan,20032004,"ATL,LAK",L,L,71,11,16,27,1,92,0.38,9,24,2,3,0,0,1,89,12.4,10:22,27.3
Joni Pitkanen,20032004,PHI,L,D,71,8,19,27,15,44,0.38,3,10,5,17,0,0,2,133,6,16:35,--
Anders Eriksson,20032004,CBJ,L,D,66,7,20,27,-6,18,0.41,5,18,2,9,0,0,1,84,8.3,20:42,--
Ales Kotalik,20032004,BUF,R,R,62,15,11,26,-1,41,0.42,13,23,2,3,0,0,3,142,10.6,15:11,50
Jere Lehtinen,20032004,DAL,R,R,58,13,13,26,0,20,0.45,8,17,4,8,1,1,4,138,9.4,19:27,40
Jay Pandolfo,20032004,NJD,L,L,82,13,13,26,5,14,0.32,10,23,1,1,2,2,4,140,9.3,16:00,44
Antti Laaksonen,20032004,MIN,L,L,77,12,14,26,0,20,0.34,11,23,0,0,1,3,1,100,12,16:03,36.1
Petr Cajanek,20032004,STL,L,C,70,12,14,26,12,16,0.37,9,17,3,9,0,0,4,126,9.5,17:48,47.6
Pascal Dupuis,20032004,MIN,L,R,59,11,15,26,5,20,0.44,9,20,2,5,0,1,1,127,8.7,15:48,45.7
Jamie Langenbrunner,20032004,NJD,R,R,53,10,16,26,9,43,0.49,7,19,1,5,2,2,2,130,7.7,16:01,51.6
Martin Straka,20032004,"PIT,LAK",L,C,54,10,16,26,-25,20,0.48,7,15,2,10,1,1,0,68,14.7,18:43,42.2
Marc-Andre Bergeron,20032004,EDM,L,D,54,9,17,26,13,26,0.48,6,16,3,10,0,0,0,105,8.6,17:39,--
Sami Salo,20032004,VAN,R,D,74,7,19,26,8,22,0.35,2,10,5,15,0,1,2,143,4.9,22:14,100
Dan Hamhuis,20032004,NSH,L,D,80,7,19,26,-12,57,0.33,5,17,2,8,0,1,4,115,6.1,22:08,--
Mike Ricci,20032004,SJS,L,C,71,7,19,26,8,40,0.37,5,20,2,6,0,0,0,48,14.6,14:21,54.8
Andrew Cassels,20032004,CBJ,L,C,58,6,20,26,-24,26,0.45,4,10,2,15,0,1,0,91,6.6,19:18,45.1
Jiri Slegr,20032004,"VAN,BOS",L,D,52,6,20,26,11,35,0.5,4,18,1,7,1,1,2,98,6.1,17:39,--
Niclas Havelid,20032004,ANA,L,D,79,6,20,26,-28,28,0.33,1,5,5,21,0,0,3,122,4.9,22:39,--
Jan Hlavac,20032004,NYR,L,L,72,5,21,26,-8,16,0.36,3,20,2,6,0,0,0,125,4,13:52,42.9
Martin Lapointe,20032004,BOS,R,R,78,15,10,25,-5,67,0.32,6,13,9,12,0,0,2,136,11,14:26,51.5
Juraj Kolnik,20032004,FLA,R,R,53,14,11,25,-7,14,0.47,12,19,2,5,0,1,1,100,14,16:05,64
Richard Park,20032004,MIN,R,R,73,13,12,25,0,28,0.34,9,17,4,8,0,0,1,142,9.2,16:30,40.1
Dany Heatley,20032004,ATL,L,L,31,13,12,25,-8,18,0.81,8,13,5,12,0,0,3,83,15.7,19:53,24.4
Manny Malhotra,20032004,"DAL,CBJ",L,C,65,12,13,25,-7,28,0.38,11,20,1,5,0,0,2,107,11.2,13:49,53.9
Wes Walz,20032004,MIN,R,C,57,12,13,25,5,32,0.44,9,22,0,0,3,3,2,70,17.1,16:18,46.3
Mikael Renberg,20032004,TOR,L,R,59,12,13,25,-1,50,0.42,10,18,2,7,0,0,1,88,13.6,13:16,25
Radim Vrbata,20032004,CAR,R,R,80,12,13,25,-10,24,0.31,8,19,4,6,0,0,2,195,6.2,13:42,38.1
Curtis Brown,20032004,"BUF,SJS",L,C,80,11,14,25,3,36,0.31,8,20,2,3,1,2,2,138,8,16:35,51.2
Serge Aubin,20032004,ATL,L,C,66,10,15,25,0,73,0.38,9,22,1,2,0,1,2,97,10.3,16:00,49.1
Chris Clark,20032004,CGY,R,R,82,10,15,25,-3,106,0.3,6,18,4,6,0,1,2,137,7.3,14:05,36.1
Dave Scatchard,20032004,NYI,R,C,61,9,16,25,12,78,0.41,7,22,1,1,1,2,1,111,8.1,16:13,52.7
Joe Corvo,20032004,LAK,R,D,72,8,17,25,7,36,0.35,8,21,0,4,0,0,3,150,5.3,21:09,0
Eric Brewer,20032004,EDM,L,D,77,7,18,25,-6,67,0.32,4,13,3,10,0,2,1,135,5.2,24:40:00,--
Martin Skoula,20032004,"COL,ANA",L,D,79,4,21,25,5,32,0.32,3,16,1,9,0,0,0,84,4.8,18:23,0
Mike Sillinger,20032004,"PHX,STL",R,C,76,13,11,24,-10,68,0.32,11,20,0,1,2,3,0,106,12.3,16:22,56.8
Mike Comrie,20032004,"PHI,PHX",L,C,49,12,12,24,-6,28,0.49,10,14,1,8,1,2,2,101,11.9,15:42,50.5
Arron Asham,20032004,NYI,R,R,79,12,12,24,-12,92,0.3,11,21,1,3,0,0,0,108,11.1,13:13,34.8
Marcus Nilson,20032004,"FLA,CGY",R,L,83,11,13,24,-6,40,0.29,8,18,2,5,1,1,3,133,8.3,15:43,44.8
Tom Poti,20032004,NYR,L,D,67,10,14,24,-1,47,0.36,6,16,4,8,0,0,5,124,8.1,22:28,--
Cliff Ronning,20032004,NYI,L,C,40,9,15,24,3,2,0.6,7,14,2,10,0,0,0,55,16.4,11:56,45.4
Cliff Ronning,20032004,NYI,L,C,40,9,15,24,3,2,0.6,7,14,2,10,0,0,0,55,16.4,11:56,45.4
Niko Dimitrakos,20032004,SJS,R,R,68,9,15,24,6,49,0.35,7,17,2,7,0,0,4,116,7.8,13:20,50
Philippe Boucher,20032004,DAL,R,D,70,8,16,24,15,64,0.34,6,19,2,5,0,0,2,134,6,22:24,--
Bret Hedican,20032004,CAR,L,D,81,7,17,24,-10,64,0.3,5,15,2,7,0,2,3,112,6.3,22:35,--
Paul Martin,20032004,NJD,L,D,70,6,18,24,12,4,0.34,4,14,2,10,0,0,2,82,7.3,20:08,--
Drake Berehowsky,20032004,"PIT,TOR",R,D,56,6,18,24,-11,67,0.43,3,9,3,15,0,0,0,70,8.6,20:25,--
Filip Kuba,20032004,MIN,L,D,77,5,19,24,-7,28,0.31,2,10,2,13,1,1,2,114,4.4,24:06:00,0
Kyle McLaren,20032004,SJS,L,D,64,2,22,24,10,60,0.38,1,17,0,5,1,2,0,67,3,21:01,0
Matt Cooke,20032004,VAN,L,L,53,11,12,23,5,73,0.43,9,19,1,2,1,2,4,79,13.9,14:06,52.9
Tomas Surovy,20032004,PIT,L,L,47,11,12,23,-8,16,0.49,8,17,3,6,0,0,1,112,9.8,12:28,25
Niklas Hagman,20032004,FLA,L,L,75,10,13,23,-5,22,0.31,9,21,0,1,1,1,2,122,8.2,14:47,21.1
Ed Jovanovski,20032004,VAN,L,D,56,7,16,23,2,64,0.41,5,17,2,6,0,0,1,143,4.9,23:11,--
Chris Phillips,20032004,OTT,L,D,82,7,16,23,15,46,0.28,7,20,0,3,0,0,1,93,7.5,20:50,100
Nathan Horton,20032004,FLA,R,R,55,14,8,22,-5,57,0.4,7,13,6,8,1,1,0,81,17.3,13:20,41.9
Steve Thomas,20032004,DET,L,R,44,10,12,22,8,25,0.5,10,21,0,1,0,0,3,80,12.5,12:45,28.6
Alexander Semin,20032004,WSH,R,R,52,10,12,22,-2,36,0.42,6,10,4,12,0,0,2,92,10.9,12:37,50
Ian Laperriere,20032004,LAK,R,R,62,10,12,22,-4,58,0.35,9,20,1,1,0,1,3,59,16.9,15:50,54
Kevyn Adams,20032004,CAR,R,C,73,10,12,22,6,43,0.3,5,17,0,0,5,5,1,141,7.1,13:17,51.9
Tom Kostopoulos,20032004,PIT,R,R,60,9,13,22,-14,67,0.37,6,16,2,5,1,1,1,101,8.9,14:26,30
Lasse Pirjeta,20032004,"CBJ,PIT",L,L,70,8,14,22,-3,20,0.31,7,16,1,6,0,0,1,111,7.2,11:26,50.1
Jason Wiemer,20032004,"NYI,MIN",L,C,75,8,14,22,-7,130,0.29,7,17,1,5,0,0,0,103,7.8,13:32,44.6
Samuel Pahlsson,20032004,ANA,L,C,82,8,14,22,-2,52,0.27,7,19,1,1,0,2,2,134,6,16:51,55.3
Brian Holzinger,20032004,"PIT,CBJ",R,C,74,7,15,22,-31,40,0.3,5,16,1,5,1,1,1,96,7.3,16:34,48.6
Keith Primeau,20032004,PHI,L,C,54,7,15,22,11,80,0.41,6,21,0,0,1,1,2,86,8.1,16:36,53.3
Tim Taylor,20032004,TBL,L,C,82,7,15,22,-5,25,0.27,7,20,0,0,0,2,1,95,7.4,12:54,59.6
Jaroslav Spacek,20032004,CBJ,L,D,58,5,17,22,-13,45,0.38,2,11,2,10,1,1,2,108,4.6,23:26,--
Pierre-Marc Bouchard,20032004,MIN,L,C,61,4,18,22,-7,22,0.36,2,13,2,9,0,0,0,60,6.7,14:00,50
Darryl Sydor,20032004,"CBJ,TBL",L,D,80,3,19,22,-16,32,0.28,2,13,1,9,0,0,0,122,2.5,20:49,0
Jason King,20032004,VAN,L,R,47,12,9,21,0,8,0.45,6,14,6,7,0,0,1,107,11.2,12:43,66.7
Marc Chouinard,20032004,MIN,R,C,45,11,10,21,4,17,0.47,7,16,3,4,1,1,2,70,15.7,15:58,53.6
Jarret Stoll,20032004,EDM,R,C,68,10,11,21,8,42,0.31,8,18,1,2,1,1,2,107,9.3,13:54,54.1
Donald Audette,20032004,"MTL,FLA",R,R,51,9,12,21,-13,38,0.41,4,11,5,10,0,0,0,107,8.4,14:53,50
Mark Rycroft,20032004,STL,R,R,71,9,12,21,2,32,0.3,9,20,0,1,0,0,0,110,8.2,14:23,63.6
Denis Arkhipov,20032004,NSH,L,C,72,9,12,21,-2,22,0.29,6,15,3,6,0,0,3,91,9.9,13:58,44.7
Andrei Zyuzin,20032004,MIN,L,D,65,8,13,21,4,48,0.32,4,13,4,8,0,0,1,104,7.7,20:22,--
Andy Sutton,20032004,ATL,L,D,65,8,13,21,0,94,0.32,0,8,7,12,1,1,1,102,7.8,23:21,0
Radoslav Suchy,20032004,PHX,L,D,82,7,14,21,1,8,0.26,5,14,2,7,0,0,2,82,8.5,19:40,100
Cory Cross,20032004,EDM,L,D,68,7,14,21,9,56,0.31,6,17,1,4,0,0,1,83,8.4,19:14,--
Scott Hannan,20032004,SJS,L,D,82,6,15,21,10,48,0.26,6,19,0,2,0,0,0,114,5.3,23:41,--
Ville Nieminen,20032004,"CHI,CGY",L,L,79,5,16,21,-9,58,0.27,4,17,1,4,0,0,1,83,6,12:26,11.1
Karel Rachunek,20032004,"OTT,NYR",R,D,72,2,19,21,8,33,0.29,1,11,1,10,0,0,0,120,1.7,19:37,--
Chris Chelios,20032004,DET,R,D,69,2,19,21,12,61,0.3,2,21,0,0,0,0,0,113,1.8,21:21,--
Richard Matvichuk,20032004,DAL,L,D,75,1,20,21,0,36,0.28,1,13,0,7,0,1,1,85,1.2,21:50,50
Taylor Pyatt,20032004,BUF,L,L,63,8,12,20,-7,25,0.32,5,17,1,1,2,2,4,98,8.2,15:36,26.3
Niklas Sundstrom,20032004,MTL,L,R,66,8,12,20,3,18,0.3,8,18,0,1,0,1,2,67,11.9,14:17,15
Mattias Weinhandl,20032004,NYI,R,R,55,8,12,20,9,26,0.36,4,12,4,8,0,0,2,49,16.3,12:20,33.3
Eric Nickulas,20032004,"STL,CHI",R,R,65,8,12,20,-8,52,0.31,7,15,1,5,0,0,1,121,6.6,13:08,38.1
Tie Domi,20032004,TOR,R,R,80,7,13,20,-2,208,0.25,6,19,1,1,0,0,0,84,8.3,11:12,0
P.J. Axelsson,20032004,BOS,L,L,68,6,14,20,2,42,0.29,6,19,0,0,0,1,1,107,5.6,16:19,15.4
Adam Mair,20032004,BUF,R,C,81,6,14,20,-3,146,0.25,5,19,1,1,0,0,1,82,7.3,9:38,45.9
Daniel Tjarnqvist,20032004,ATL,L,D,68,5,15,20,-4,20,0.29,3,15,0,2,2,3,1,65,7.7,22:17,25
Toni Lydman,20032004,CGY,L,D,67,4,16,20,6,30,0.3,2,5,2,14,0,1,1,93,4.3,21:13,--
Cale Hulse,20032004,PHX,R,D,82,3,17,20,-4,123,0.24,2,18,1,2,0,0,0,115,2.6,21:28,--
Jay Bouwmeester,20032004,FLA,L,D,61,2,18,20,-15,30,0.33,2,10,0,9,0,1,0,85,2.4,23:02,--
Artem Chubarov,20032004,VAN,L,C,65,12,7,19,1,14,0.29,10,17,1,1,1,1,3,93,12.9,14:05,53.3
Derek Roy,20032004,BUF,L,C,49,9,10,19,-8,12,0.39,8,15,1,4,0,0,4,71,12.7,15:19,47.4
Jason Smith,20032004,EDM,R,D,68,7,12,19,13,98,0.28,6,18,0,0,1,1,1,84,8.3,21:22,50
Danny Markov,20032004,"CAR,PHI",L,D,78,6,13,19,-6,95,0.24,3,12,3,7,0,0,2,100,6,22:37,--
Matt Cullen,20032004,FLA,L,C,56,6,13,19,-2,24,0.34,5,15,1,2,0,2,2,75,8,14:12,50.6
Brad Lukowich,20032004,TBL,L,D,79,5,14,19,29,24,0.24,5,17,0,2,0,0,1,86,5.8,18:45,0
Eric Weinrich,20032004,"PHI,STL",L,D,80,4,15,19,12,46,0.24,2,15,2,3,0,1,1,83,4.8,21:33,--
Mike Eastwood,20032004,PIT,R,C,82,4,15,19,-18,40,0.23,4,17,0,0,0,2,1,55,7.3,13:57,51.5
Jiri Fischer,20032004,DET,L,D,81,4,15,19,0,75,0.23,3,16,1,1,0,2,0,115,3.5,18:30,--
Jason Woolley,20032004,DET,L,D,55,4,15,19,19,28,0.35,4,13,0,6,0,0,1,60,6.7,15:42,50
Vladimir Malakhov,20032004,"NYR,PHI",L,D,62,3,16,19,-6,55,0.31,2,11,1,6,0,2,0,95,3.2,19:56,100
Marek Malik,20032004,VAN,L,D,78,3,16,19,35,45,0.24,3,15,0,3,0,1,0,61,4.9,18:05,0
Cory Sarich,20032004,TBL,R,D,82,3,16,19,5,89,0.23,2,17,0,0,1,2,1,93,3.2,18:31,0
Tom Preissing,20032004,SJS,R,D,69,2,17,19,8,12,0.28,0,9,2,10,0,0,1,89,2.3,18:12,--
Mike Rathje,20032004,SJS,L,D,80,2,17,19,18,46,0.24,1,10,0,5,1,4,0,105,1.9,23:27,--
Karel Pilar,20032004,TOR,R,D,50,2,17,19,2,22,0.38,1,11,1,8,0,0,1,74,2.7,18:03,--
Brad Isbister,20032004,EDM,R,L,51,10,8,18,-2,54,0.35,9,17,1,1,0,0,2,80,12.5,12:46,56.4
Jean-Pierre Vigier,20032004,ATL,R,R,70,10,8,18,-18,22,0.26,6,10,2,5,2,3,3,110,9.1,14:36,47.2
Tyler Wright,20032004,CBJ,R,C,68,9,9,18,-19,63,0.26,7,15,2,3,0,0,3,109,8.3,14:34,43.7
Jeff Taffe,20032004,PHX,L,L,59,8,10,18,-8,20,0.31,3,8,5,10,0,0,0,67,11.9,11:02,43.4
Jon Sim,20032004,"LAK,PIT",L,L,63,8,10,18,-4,33,0.29,8,17,0,1,0,0,2,100,8,10:53,31.6
Scott Nichol,20032004,CHI,R,C,75,7,11,18,-16,145,0.24,7,18,0,0,0,0,1,112,6.3,15:46,57.4
Jason Krog,20032004,ANA,R,C,80,6,12,18,-4,16,0.23,5,15,1,3,0,0,1,111,5.4,11:58,58.5
Christian Backman,20032004,STL,L,D,66,5,13,18,3,16,0.27,4,13,1,5,0,0,0,92,5.4,19:20,--
Igor Ulanov,20032004,EDM,L,D,42,5,13,18,19,28,0.43,4,14,1,4,0,0,3,49,10.2,19:51,--
Robyn Regehr,20032004,CGY,L,D,82,4,14,18,14,74,0.22,2,9,2,7,0,2,1,106,3.8,22:21,50
Adam Oates,20032004,EDM,R,C,60,2,16,18,0,8,0.3,1,8,1,10,0,0,1,32,6.3,14:30,57.2
Stanislav Chistov,20032004,ANA,R,R,56,2,16,18,-16,26,0.32,0,6,2,12,0,0,0,70,2.9,12:20,0
Francis Bouillon,20032004,MTL,L,D,73,2,16,18,1,70,0.25,2,13,0,5,0,0,0,86,2.3,19:39,--
Rem Murray,20032004,NSH,L,L,39,8,9,17,-1,12,0.44,6,13,0,1,2,3,1,58,13.8,16:37,46.1
Mike Keane,20032004,VAN,R,R,64,8,9,17,7,20,0.27,8,14,0,0,0,3,2,41,19.5,11:11,34.7
Josh Langfeld,20032004,OTT,R,R,38,7,10,17,6,16,0.45,5,14,2,3,0,0,2,59,11.9,10:53,80
Craig Adams,20032004,CAR,R,R,80,7,10,17,-5,69,0.21,6,16,0,0,1,1,0,110,6.4,13:41,45
Tom Fitzgerald,20032004,TOR,R,R,69,7,10,17,-2,52,0.25,6,16,1,1,0,0,1,81,8.6,12:23,53
Daniel Cleary,20032004,PHX,L,R,68,6,11,17,-8,42,0.25,3,13,0,1,3,3,0,83,7.2,13:12,39.2
Chuck Kobasew,20032004,CGY,R,R,70,6,11,17,-12,51,0.24,3,10,3,7,0,0,0,78,7.7,10:22,42.9
Georges Laraque,20032004,EDM,R,R,66,6,11,17,7,99,0.26,5,14,1,3,0,0,1,54,11.1,9:22,--
Jim Vandermeer,20032004,"PHI,CHI",L,D,46,5,12,17,-11,83,0.37,3,10,1,6,1,1,1,61,8.2,18:55,100
Jeff Jillson,20032004,"BOS,BUF",R,D,64,4,13,17,-4,54,0.27,3,13,1,4,0,0,1,115,3.5,17:59,--
Stephane Yelle,20032004,CGY,L,C,53,4,13,17,1,24,0.32,3,11,1,5,0,1,0,76,5.3,15:48,56.6
Rhett Warrener,20032004,CGY,R,D,77,3,14,17,8,97,0.22,2,12,0,2,1,3,1,82,3.7,19:52,0
Teppo Numminen,20032004,DAL,R,D,62,3,14,17,-5,18,0.27,3,10,0,7,0,0,0,83,3.6,21:40,100
Travis Green,20032004,BOS,R,C,64,11,5,16,-6,67,0.25,9,13,2,2,0,1,2,104,10.6,15:17,55.6
Scott Young,20032004,DAL,R,R,53,8,8,16,-15,14,0.3,6,9,2,7,0,0,2,134,6,14:45,20
Chris Neil,20032004,OTT,R,R,82,8,8,16,13,194,0.2,8,15,0,1,0,0,1,76,10.5,8:51,42.9
Marcus Ragnarsson,20032004,PHI,L,D,70,7,9,16,12,58,0.23,5,10,2,6,0,0,2,82,8.5,20:55,--
Marcus Ragnarsson,20032004,PHI,L,D,70,7,9,16,12,58,0.23,5,10,2,6,0,0,2,82,8.5,20:55,--
Vitaly Vishnevski,20032004,ANA,L,D,73,6,10,16,0,51,0.22,6,16,0,0,0,0,0,86,7,17:10,--
Dimitri Afanasenkov,20032004,TBL,R,L,71,6,10,16,-4,12,0.23,6,14,0,2,0,0,1,98,6.1,12:21,0
Nick Schultz,20032004,MIN,L,D,79,6,10,16,12,16,0.2,5,12,1,3,0,1,0,72,8.3,20:19,--
Martin Strbak,20032004,"LAK,PIT",L,D,49,5,11,16,-10,46,0.33,5,12,0,4,0,0,1,54,9.3,19:29,50
Sandis Ozolinsh,20032004,ANA,L,D,36,5,11,16,-7,24,0.44,4,10,1,6,0,0,2,58,8.6,19:57,--
Lyle Odelein,20032004,FLA,L,D,82,4,12,16,-7,88,0.2,2,10,2,5,0,1,0,67,6,18:53,100
Andrew Ference,20032004,CGY,L,D,72,4,12,16,5,53,0.22,3,11,1,5,0,0,0,86,4.7,18:40,--
Greg De Vries,20032004,"NYR,OTT",L,D,66,3,13,16,12,43,0.24,3,13,0,2,0,1,0,70,4.3,18:47,--
Pavel Trnka,20032004,FLA,L,D,67,3,13,16,2,51,0.24,2,11,1,4,0,1,0,66,4.5,17:07,--
Boris Mironov,20032004,NYR,R,D,75,3,13,16,1,86,0.21,2,12,1,4,0,0,1,129,2.3,20:37,0
Denis Gauthier,20032004,CGY,L,D,80,1,15,16,4,113,0.2,1,13,0,2,0,1,0,90,1.1,18:43,--
Brian Willsie,20032004,WSH,R,R,49,10,5,15,-7,18,0.31,8,12,1,2,1,1,1,85,11.8,12:42,34.8
Steve Begin,20032004,MTL,L,L,52,10,5,15,6,41,0.29,9,14,0,0,1,1,1,91,11,12:32,48.6
Michael Cammalleri,20032004,LAK,L,L,31,9,6,15,1,20,0.48,7,10,2,5,0,0,2,53,17,13:18,53.6
Magnus Arvedson,20032004,VAN,R,L,41,8,7,15,7,12,0.37,6,13,2,2,0,0,4,54,14.8,14:30,20
Grant Marshall,20032004,NJD,R,R,65,8,7,15,-9,67,0.23,3,9,5,6,0,0,2,76,10.5,12:53,40
Boyd Devereaux,20032004,DET,L,C,61,6,9,15,-1,20,0.25,6,14,0,1,0,0,2,62,9.7,9:58,50
Joe Juneau,20032004,MTL,L,C,70,5,10,15,-4,20,0.21,2,10,2,3,1,2,1,76,6.6,15:47,50.9
Ruslan Salei,20032004,ANA,L,D,82,4,11,15,-1,110,0.18,3,14,0,0,1,1,2,145,2.8,23:42,--
Jason York,20032004,NSH,R,D,67,2,13,15,-4,64,0.22,2,7,0,4,0,4,1,80,2.5,21:17,0
Antoine Vermette,20032004,OTT,L,C,57,7,7,14,5,16,0.25,6,12,0,0,1,2,0,63,11.1,11:59,44
Jarkko Ruutu,20032004,VAN,L,L,71,6,8,14,-13,133,0.2,5,11,1,2,0,1,0,70,8.6,11:29,30
Radovan Somik,20032004,PHI,R,R,53,4,10,14,-2,17,0.26,4,14,0,0,0,0,0,41,9.8,11:01,59.4
Josef Boumedienne,20032004,WSH,L,D,37,2,12,14,-10,30,0.38,0,3,2,11,0,0,0,44,4.5,23:02,--
Mattias Norstrom,20032004,LAK,L,D,74,1,13,14,-3,44,0.19,1,11,0,2,0,1,0,65,1.5,22:26,100
Willie Mitchell,20032004,MIN,L,D,70,1,13,14,12,83,0.2,1,10,0,2,0,2,0,58,1.7,22:36,50
Michael Nylander,20032004,"WSH,BOS",L,C,18,1,13,14,4,22,0.78,1,10,0,4,0,0,1,30,3.3,15:35,47.3
Justin Papineau,20032004,NYI,L,C,64,8,5,13,4,8,0.2,3,8,5,5,0,0,2,44,18.2,7:42,38.8
Fredrik Sjostrom,20032004,PHX,L,L,57,7,6,13,-7,22,0.23,7,13,0,0,0,0,1,73,9.6,11:35,28.6
Erik Rasmussen,20032004,NJD,L,C,69,7,6,13,5,41,0.19,7,12,0,1,0,0,0,68,10.3,11:34,44.4
Jason Williams,20032004,DET,R,C,49,6,7,13,1,15,0.27,6,13,0,0,0,0,0,44,13.6,9:27,49.2
Donald Brashear,20032004,PHI,L,L,64,6,7,13,-1,212,0.2,6,13,0,0,0,0,0,72,8.3,11:02,38.9
Karlis Skrastins,20032004,COL,L,D,82,5,8,13,18,26,0.16,4,11,0,1,1,1,1,102,4.9,21:49,--
Mark Eaton,20032004,NSH,L,D,75,4,9,13,16,26,0.17,4,10,0,0,0,3,1,82,4.9,20:56,--
Mathieu Biron,20032004,FLA,R,D,57,3,10,13,-13,51,0.23,3,13,0,0,0,0,1,75,4,18:13,--
Stephane Robidas,20032004,"DAL,CHI",R,D,59,3,10,13,4,41,0.22,1,10,1,2,1,1,1,63,4.8,19:02,100
Igor Korolev,20032004,CHI,L,C,62,3,10,13,-15,22,0.21,3,11,0,1,0,1,1,38,7.9,11:11,47.2
Rostislav Klesla,20032004,CBJ,L,D,47,2,11,13,-16,27,0.28,2,8,0,5,0,0,1,74,2.7,18:19,--
Colin White,20032004,NJD,L,D,75,2,11,13,10,96,0.17,2,12,0,1,0,0,0,61,3.3,21:02,--
Matt Pettinger,20032004,WSH,L,L,71,7,5,12,-9,37,0.17,6,11,1,1,0,0,1,92,7.6,11:25,44.4
